it’s,của nó,ɪts,,5,True
other,khác,ˈʌð.ər,determiner,3,True
than,hơn,ðæn,preposition,3,True
need,nhu cầu,niːd,verb,3,True
to,đến,tə,preposition,10,True
place,địa điểm,pleɪs,verb,3,True
your,của bạn,jʊr,pronoun,3,True
code,mã số,kəʊd,verb,13,True
within,ở trong,wɪˈðɪn,preposition,3,True
the,các,ðiː,definite article,18,True
and,và,ænd,conjunction,6,True
tag,nhãn,tæɡ,verb,6,True
there,ở đó,ðeər,adverb,3,True
are,là,ɑːr,verb,4,True
no,không,noʊ,determiner,3,True
restriction,sự hạn chế,rɪˈstrɪk.ʃən,noun,3,True
in,trong,ɪn-,preposition,14,True
how,làm sao,haʊ,adverb,3,True
you,bạn,juː,pronoun,3,True
embed,nhúng,ɪmˈbed,verb,3,True
it,nó,ɪt-,pronoun,6,True
html,html,ˌeɪtʃ.tiː.emˈel,noun,9,True
fact,sự thật,fækt,noun,3,True
often,thường,ˈɑːf.ən,adverb,3,True
necessary,cần thiết,ˈnes.ə.ser.i,adjective,3,True
wedge,nêm,wedʒ,noun,3,True
"a, a","a, a",eɪ,noun,12,True
piece,cái, -piːs,noun,3,True
of,của,əv,preposition,16,True
into,vào trong,ˈɪn.tuː,preposition,3,True
middle,ở giữa,ˈmɪd.əl,noun,3,True
-like,-giống,laɪk,verb,4,True
when,khi,wen,adverb,3,True
you’re,bạn có thể,jʊr,,3,True
setting,cài đặt,ˈset̬.ɪŋ,noun,3,True
attribute,thuộc tính,ˈæt.rɪ.bjuːt,noun,3,True
an,một,ən,determiner,5,True
this,cái này,ðɪs,determiner,5,True
is,là,ɪz,verb,6,True
perfectly,hoàn hảo,ˈpɝː.fekt.li,adverb,3,True
legitimate,hợp pháp,ləˈdʒɪt.ə.məɪt,noun,3,True
usage,cách sử dụng,ˈjuː.sɪdʒ,noun,3,True
as,bằng,æz,adverb,3,True
java,java,ˈdʒɑː.və,noun,1,True
developer,nhà phát triển,dɪˈvel.ə.pɚ,noun,1,True
we,chúng tôi,wiː,pronoun,3,True
can’t,có thể,kænt,,1,True
develop,phát triển,dɪˈvel.əp,verb,1,True
insightful,sâu sắc,ˈɪn.saɪt.fəl,adjective,1,True
application,ứng dụng,ˌæp.ləˈkeɪ.ʃən,noun,3,True
without,không có,wɪˈðaʊt,preposition,1,True
use,sử dụng,juːz,verb,2,True
database,cơ sở dữ liệu,ˈdeɪ.t̬ə.beɪs,noun,4,True
software,phần mềm,ˈsɑːft.wer,noun,1,True
traditionally,theo truyền thống,trəˈdɪʃ.ən.əl.i,adverb,1,True
relational,quan hệ,rɪˈleɪ.ʃən.əl,adjective,2,True
work,công việc,wɝːk,noun,1,True
with,với,wɪð,preposition,2,True
course,khóa học,kɔːs,noun,1,True
structured,cấu trúc,ˈstrʌk.tʃɚd,adjective,1,True
contain,bao gồm,kənˈteɪn,verb,1,True
multiple,nhiều,ˈmʌl.tə.pəl,adjective,1,True
table,bàn,ˈteɪ.bəl,verb,2,True
maintain,duy trì,meɪnˈteɪn,verb,1,True
meaningful,có ý nghĩa,ˈmiː.nɪŋ.fəl,adjective,1,True
relations,quan hệ,,noun,1,True
between,giữa,bɪˈtwiːn,preposition,1,True
them,họ,ðəm,pronoun,1,True
additionally,ngoài ra,əˈdɪʃ.ən.əl.i,adverb,1,True
us,chúng ta,ʌs,adjective,1,True
query,truy vấn,ˈkwɪə.ri,verb,1,True
operate,vận hành,ˈɑː.pə.reɪt,verb,1,True
data,dữ liệu,ˈdeɪ.t̬ə,noun,1,True
store,cửa hàng,stɔːr,verb,1,True
create,tạo nên,kriˈeɪt,verb,1,True
one,một,wʌn,pronoun,1,True
runner,á hậu,ˈrʌn.ɚ,noun,1,True
class,lớp học,klæs,noun,1,True
name,tên,neɪm,verb,2,True
just,chỉ,dʒʌst,adverb,1,True
test,bài kiểm tra,test,verb,1,True
once,một lần,wʌns,adverb,1,True
implement,thực hiện,ˈɪm.plɪ.mənt,noun,1,True
example,ví dụ,ɪɡˈzæm.pəl,noun,2,True
-saving,-tiết kiệm, -seɪ.vɪŋ,suffix,1,True
4×4,4 × 4,ˌfɔːr.baɪˈfɔːr,noun,1,True
books,sách,,plural noun,2,True
addition,phép cộng,əˈdɪʃ.ən,noun,1,True
update,cập nhật,ʌpˈdeɪt,verb,1,True
id,nhận dạng,ˌaɪˈdiː,noun,1,True
last,cuối cùng,lɑːst,adjective,2,True
book,sách,bʊk,verb,1,True
allow,cho phép,əˈlaʊ,verb,1,True
author,tác giả,ˈɔː.θər,verb,1,True
will,sẽ,wɪl,noun,1,True
consider,coi như,kənˈsɪd.ɚ,verb,1,True
new-,mới-,nuː,prefix,1,True
record,ghi ,ˈrek.ɚd,verb,1,True
at,tại,æt,preposition,1,True
retrieve,lấy lại,rɪˈtriːv,noun,1,True
all,tất cả,ɑːl,prefix,1,True
save,cứu,seɪv,verb,1,True
display,trưng bày,dɪˈspleɪ,noun,1,True
console,bảng điều khiển,ˈkɒn.səʊl,verb,1,True
for,vì,fɔːr,preposition,1,True
below,dưới,bɪˈloʊ,preposition,1,True
